category,profile,month,year,fb_followers,fb_number_likes,fb_number_comments,fb_number_posts,insta_followers,insta_number_comments,insta_number_posts,insta_number_likes,twitter_fans,twitter_number_posts,twitter_number_likes,twitter_retweets
Líderes Mundiais,Donald Trump,1,19,23797811.0,5412750.0,841780.0,118.0,,832356.0,78.0,25339359.0,57913532.0,362.0,34713835.0,7894570.0
Líderes Mundiais,Narendra Modi,1,19,43387498.0,2528896.0,400407.0,55.0,,,,,45310374.0,357.0,5396775.0,1212136.0
Líderes Mundiais,Jair Bolsonaro,1,19,9208943.0,10498746.0,743907.0,131.0,10095461.0,1908761.0,111.0,75975846.0,3224983.0,288.0,9514517.0,1304953.0
Líderes Mundiais,Erdogan,1,19,9020991.0,325933.0,87889.0,42.0,,51449.0,4.0,1977689.0,13418237.0,68.0,909028.0,226385.0
Líderes Mundiais,Obrador,1,19,5346470.0,1996669.0,857605.0,63.0,,17979.0,7.0,376118.0,5179546.0,61.0,645979.0,172491.0
Líderes Mundiais,Rody Duterte,1,19,4335738.0,4096.0,1419.0,1.0,,,,,180111.0,0.0,0.0,0.0
Líderes Mundiais,Cristina Kirchner,1,19,2422976.0,14189.0,1908.0,2.0,,2978.0,1.0,37053.0,5343416.0,3.0,35653.0,17260.0
Líderes Mundiais,Piñera,1,19,493532.0,47683.0,10912.0,38.0,345029.0,20241.0,33.0,355573.0,2174047.0,39.0,236699.0,106422.0
Líderes Mundiais,Matteo Salvini,1,19,3433371.0,7666040.0,1657763.0,418.0,1197035.0,651832.0,321.0,13409733.0,972383.0,692.0,1456857.0,293976.0
Líderes Mundiais,Emmanuel Macron,1,19,2383139.0,120233.0,46046.0,33.0,1314114.0,10556.0,4.0,216666.0,3647690.0,49.0,361326.0,105809.0
Líderes Mundiais,Lacalle Pou,1,19,118653.0,10749.0,2002.0,30.0,13917.0,662.0,9.0,13839.0,117567.0,95.0,17582.0,6510.0
Líderes Mundiais,Benjamin Netanyahu,1,19,2386417.0,646700.0,91420.0,140.0,514101.0,94627.0,112.0,1748043.0,1496953.0,160.0,582332.0,112091.0
Líderes Mundiais,Justin Trudeau,1,19,6475872.0,316209.0,77511.0,52.0,,,,,4442660.0,319.0,261263.0,67253.0
